p_id,classid,p_name,p_intro,p_price,p_open
1,4,【D-Link 友訊】R04 N300 EAGLE PRO AI 智慧無線路由器,【D-Link 友訊】R04 N300 EAGLE PRO AI 智慧無線路由器,499,1
2,4,【D-Link 友訊】G416 AX1500 4G LTE無線路由器/分享器,【D-Link 友訊】G416 AX1500 4G LTE無線路由器/分享器,"3,799",1
3,4,【D-Link 友訊】DWA-131 Nano USB介面無線網路卡,【D-Link 友訊】DWA-131 Nano USB介面無線網路卡,259,1
4,4,【D-Link 友訊】R32 AX3200 雙頻無線路由器/分享器,【D-Link 友訊】R32 AX3200 雙頻無線路由器/分享器,"1,899",1
5,4,【D-Link 友訊】DWA-121 N150 USB迷你無線網路卡,【D-Link 友訊】DWA-121 N150 USB迷你無線網路卡,149,1
6,4,【D-Link 友訊】R12 AC1200 AI 智慧無線路由器/分享器,【D-Link 友訊】R12 AC1200 AI 智慧無線路由器/分享器,949,1
7,4,【D-Link 友訊】G403 EAGLE PRO AI 4G LTE Cat.4 N300 無線路由器分享器,【D-Link 友訊】G403 EAGLE PRO AI 4G LTE Cat.4 N300 無線路由器分享器,"1,899",1
8,4,【D-Link 友訊】DWM-222 4G LTE N150 USB行動網卡,【D-Link 友訊】DWM-222 4G LTE N150 USB行動網卡,"2,599",1
9,4,【D-Link 友訊】DWA-T185 AC1200 無線網卡,【D-Link 友訊】DWA-T185 AC1200 無線網卡,639,1
10,4,【D-Link 友訊】M15 AX1500 MESH 雙頻無線路由器-三入組,【D-Link 友訊】M15 AX1500 MESH 雙頻無線路由器-三入組,"3,799",1
11,4,【D-Link 友訊】M15 AX1500 MESH 雙頻無線路由器-2入組,【D-Link 友訊】M15 AX1500 MESH 雙頻無線路由器-2入組,"2,599",1
12,4,【D-Link】M60 AX6000 Wi-Fi 6 雙頻無線路由器,【D-Link】M60 AX6000 Wi-Fi 6 雙頻無線路由器,"3,599",1
13,4,【D-Link 友訊】R15 AX1500 Wi-Fi 6 雙頻無線路由器,【D-Link 友訊】R15 AX1500 Wi-Fi 6 雙頻無線路由器,"1,099",1
14,4,【D-Link 友訊】G415 4G LTE Cat.4 AX1500 無線路由器,【D-Link 友訊】G415 4G LTE Cat.4 AX1500 無線路由器,"3,699",1
15,4,【D-Link 友訊】DWA-X1850 AX1800 Wi-Fi 6 USB3.0 無線網路卡,【D-Link 友訊】DWA-X1850 AX1800 Wi-Fi 6 USB3.0 無線網路卡,899,1
16,4,【D-Link 友訊】E15 AX1500 Wi-Fi 6 無線延伸器,【D-Link 友訊】E15 AX1500 Wi-Fi 6 無線延伸器,"1,499",1
17,4,【D-Link 友訊】R15 AX1500 Wi-Fi 6 雙頻無線路由器,【D-Link 友訊】R15 AX1500 Wi-Fi 6 雙頻無線路由器,"1,099",1
18,4,【D-Link 友訊】AX18U Wi-Fi 6 AX1800 USB 無線網路卡,【D-Link 友訊】AX18U Wi-Fi 6 AX1800 USB 無線網路卡,799,1
19,4,【D-Link 友訊】DWA-183 AC1200 MU-MIMO 雙頻USB 3.0 無線網路卡,【D-Link 友訊】DWA-183 AC1200 MU-MIMO 雙頻USB 3.0 無線網路卡,499,1
20,4,【D-Link】R18 AX1800 AI智慧雙頻 無線路由器/分享器,【D-Link】R18 AX1800 AI智慧雙頻 無線路由器/分享器,"1,499",1
21,4,【D-Link 友訊】M15 AX1500 MESH 雙頻無線路由器-3入組,【D-Link 友訊】M15 AX1500 MESH 雙頻無線路由器-3入組,"4,399",1
22,5,【D-Link 友訊】DWA-183 AC1200 MU-MIMO 雙頻USB 3.0 無線網路卡,【D-Link 友訊】DWA-183 AC1200 MU-MIMO 雙頻USB 3.0 無線網路卡,499,1
23,5,【D-Link 友訊】DWA-131 Nano USB介面無線網路卡,【D-Link 友訊】DWA-131 Nano USB介面無線網路卡,259,1
24,5,【D-Link 友訊】DWA-121 N150 USB迷你無線網路卡,【D-Link 友訊】DWA-121 N150 USB迷你無線網路卡,149,1
25,5,【D-Link 友訊】DWM-222 4G LTE N150 USB行動網卡,【D-Link 友訊】DWM-222 4G LTE N150 USB行動網卡,"2,599",1
26,5,【D-Link 友訊】DWA-X1850 AX1800 Wi-Fi 6 USB3.0 無線網路卡,【D-Link 友訊】DWA-X1850 AX1800 Wi-Fi 6 USB3.0 無線網路卡,899,1
27,5,【D-Link 友訊】AX18U Wi-Fi 6 AX1800 USB 無線網路卡,【D-Link 友訊】AX18U Wi-Fi 6 AX1800 USB 無線網路卡,799,1
28,6,【D-Link 友訊】DCS-8350LH 2K QHD 無線網路攝影機,【D-Link 友訊】DCS-8350LH 2K QHD 無線網路攝影機,"2,999",1
